attribute-level,poster,artist,count,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2018,Nothing But Thieves,1,shared,BBC Radio 1 Stage,11,2,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Mist,1,shared,BBC Radio 1 Stage,12,3,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Blaze,1,shared,BBC Radio 1 Stage,13,4,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,IAMDDB,1,shared,BBC Radio 1 Stage,14,5,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Front Bottoms,1,shared,BBC Radio 1 Stage,15,6,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Maggie Rogers,1,shared,BBC Radio 1 Stage,16,7,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Fickle Friends,1,shared,BBC Radio 1 Stage,17,8,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,An Invitation to Salvation,1,shared,BBC Radio 1 Stage,18,9,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,SWMRS,1,shared,BBC Radio 1 Stage,19,10,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Rae Morris,1,shared,BBC Radio 1 Stage,20,11,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Sounds Like A Storm,1,shared,BBC Radio 1 Stage,21,12,2,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Annie Mac,1,shared,BBC Radio 1 Dance Stage,22,1,3,T,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Bicep Live,1,shared,BBC Radio 1 Dance Stage,23,2,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Kölsch,1,shared,BBC Radio 1 Dance Stage,24,3,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Elderbrook,1,shared,BBC Radio 1 Dance Stage,25,4,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Shadow Child,1,shared,BBC Radio 1 Dance Stage,26,5,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,KDA,1,shared,BBC Radio 1 Dance Stage,27,6,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Madam X,1,shared,BBC Radio 1 Dance Stage,28,7,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Draper,1,shared,BBC Radio 1 Dance Stage,29,8,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Bülow,1,shared,BBC Radio 1 Dance Stage,30,8,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Jimothy Lacoste,1,shared,BBC Radio 1 Dance Stage,31,9,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Gengahr,1,shared,BBC Radio 1 Dance Stage,32,10,3,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Underøath,1,shared,The Lockup,33,1,4,T,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Used,1,shared,The Lockup,34,2,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,La Dispute,1,shared,The Lockup,35,3,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Royal Republic,1,shared,The Lockup,36,4,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Trophy Eyes,1,shared,The Lockup,37,5,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,I The Mighty,1,shared,The Lockup,38,6,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Fever 333,1,shared,The Lockup,39,7,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Xcerts,1,shared,The Lockup,40,8,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Faim,1,shared,The Lockup,41,9,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Thunderpussy,1,shared,The Lockup,42,10,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Petrol Girls,1,shared,The Lockup,43,11,4,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Horrors,1,shared,Festival Republic Stage,44,1,5,T,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Death From Above,1,shared,Festival Republic Stage,45,2,5,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Bad Sounds,1,shared,Festival Republic Stage,46,3,5,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Hudson Taylor,1,shared,Festival Republic Stage,47,4,5,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Børns,1,shared,Festival Republic Stage,48,5,5,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Night Café,1,shared,Festival Republic Stage,49,6,5,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Dream Wife,1,shared,Festival Republic Stage,50,7,5,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Ten Tonnes,1,shared,Festival Republic Stage,51,8,5,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
