20,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2011,Ham Sandwich,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Heart Ships,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Kill Van Kulls,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Kirk Spencer,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Mexanines,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Milk Maid,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Minutes,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Rae Morris,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Murkage,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Original Rudeboys,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Rainy Boy Sleep,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Sam Sure & Giacomo,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Save Your Breath,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Simon Pollard Band,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Spector,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,These Furrows,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,This Boy Wonders,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Tomahawks For Targets,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Winchell Riots,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
